5HT_AugmentedGIFs,5HT_GIFs,5HT_iGIF_NPs,5HT_iGIF_VRs,Cell
0.9487242661776871,0.9553043348699047,0.9553043348699047,0.9310915284285081,DRN307
0.8860547006065929,0.9058271294792966,0.9058271294792966,0.8686615331093209,DRN308
0.9463792112583974,0.9442217053814819,0.9442217053814819,0.9341668702129687,DRN317
0.9372786915214836,0.9252474023041928,0.9252474023041928,0.9186050346168758,DRN318
0.559497917429489,0.6819291290850857,0.6819291290850857,0.6293751974333416,DRN319
0.9294861655319485,0.9304666146858038,0.9304666146858038,0.8923068987672371,DRN320
0.9217732207191084,0.9257916486268571,0.9257916486268571,0.8301672982119659,DRN321
0.9243263718813245,0.9254479247358578,0.9254479247358578,0.9023007809389516,DRN324
0.9585230222580376,0.9329113979440625,0.9329113979440625,0.9202658816624828,DRN325
0.8957997086490923,0.9022723050644448,0.9022723050644448,0.8553033257738525,DRN327
0.7471374911194242,0.8073666217818147,0.8073666217818147,0.6646821972016297,DRN332
0.864191565275489,0.8749220352367066,0.8749220352367066,0.8566002508544273,DRN384
0.8965680816418379,0.9049237686853504,0.9049237686853504,0.8858724380977295,DRN385
0.9103532328467866,0.9141310936778166,0.9141310936778166,0.8667630264807138,DRN386
0.9630145605998515,0.9652173175600738,0.9652173175600738,0.9523451807929117,JF3
0.962709439082966,0.9507577193009635,0.9507577193009635,0.9479720345526917,JF5
0.9600838313208205,0.9527627355895026,0.9527627355895026,0.9522475574736285,JF6
0.9308630553677495,0.9207573046868189,0.9207573046868189,0.9207144969157359,JF7
