Cell,GABA_minified_AugmentedGIFs,GABA_minified_GIFs,GABA_minified_iGIF_NPs,GABA_minified_iGIF_VRs
DRN351,0.9056854458492853,0.8771533739346231,0.8771533739346231,0.8259570205911816
DRN354,0.9491956287919656,0.9422099324125632,0.9422099324125632,0.9317859033483623
DRN355,0.9457118248691363,0.9391975504528081,0.9391975504528081,0.9297382186489436
DRN356,0.9863957552781836,0.9794756579620404,0.9794756579620404,0.9793505415845792
DRN357,0.959780543047116,0.9532837310875483,0.9532837310875483,0.9489861427968057
SOM_6_LW,0.9354928004813662,0.932359398353753,0.932359398353753,0.9245050586735916
SOM_9_LW,0.9530034266953221,0.9533711429408841,0.9533711429408841,0.9529093845508491
SOM_14_LW,0.9303168354368389,0.9305442923681001,0.9305442923681001,0.929955577120584
DRN415,0.9702742613208909,0.9697053738255197,,0.9687248302348543
DRN416,0.9303394731266573,0.9311771127440504,0.9311771127440504,0.9265323494587759
DRN419,0.9415251614542351,0.9417287919184647,0.9417287919184647,0.9351794621515588
DRN421,0.928381000430293,0.9325841172717223,0.9325841172717223,0.8709270432521745
DRN422,0.9542582374842454,0.9542837441051506,0.9542837441051506,0.9485456918175894
DRN424,0.9485534657374453,0.9435826143933332,0.9435826143933332,0.9282001822941437
